  Time (Seconds) , FPS , Current Stage 
1,,Scanning Environment
2,  52,Scanning Environment
3,  57,Scanning Environment
4,  55,Scanning Environment
5,  57,Scanning Environment
6,  60,Scanning Environment
7,  56,Scanning Environment
8,  54,Scanning Environment
9,  3,Vuforia Tracking
10,  41,Vuforia Tracking
11,  53,Vuforia Tracking
12,  22,Vuforia Tracking
13,  22,Vuforia Tracking
14,  23,Vuforia Tracking
15,  22,Vuforia Tracking
16,  19,Vuforia Tracking
17,  26,Vuforia Tracking
18,  23,Vuforia Tracking
19,  25,Vuforia Tracking
20,  23,Vuforia Tracking
21,  35,Vuforia Tracking
22,  39,Vuforia Tracking
23,  36,Robot Stabilized
24,  40,Start planning path
25,  47,Start planning path
26,  48,Start planning path
27,  46,Start planning path
28,  50,Start planning path
29,  40,Start planning path
30,  45,Start planning path
31,  60,Start planning path
32,  60,Start planning path
33,  60,Start planning path
34,  59,Start planning path
35,  53,Start planning path
36,  54,Start planning path
37,  59,Start planning path
38,  59,Start planning path
39,  59,Start planning path
40,  59,Start planning path
41,  60,Start planning path
42,  60,Start planning path
43,  60,Start planning path
44,  60,Start planning path
45,  60,Start planning path
46,  50,Start planning path
47,  59,Start planning path
48,  59,Start planning path
49,  59,Start planning path
50,  59,Start planning path
51,  59,Start planning path
52,  53,Start planning path
53,  49,Start planning path
54,  59,Start planning path
55,  60,Start planning path
56,  57,Start planning path
57,  60,Start planning path
58,  59,Start planning path
59,  60,Start planning path
60,  59,Start planning path
61,  59,Start planning path
62,  60,Start planning path
63,  59,Start planning path
64,  59,Start executing path
65,  59,Start executing path
66,  59,Start executing path
67,  59,Start executing path
68,  60,Start executing path
69,  59,Start executing path
70,  58,Path end reached
71,  60,Path end reached
72,  59,Path end reached
73,  59,Reset Environment
